City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Bom Jesus,BR,2022-05-24 20:59:07,-9.0744,-44.3586,301.52,38,86,3.44
121,Ogdensburg,US,2022-05-24 20:59:07,44.6942,-75.4863,293.4,39,0,3.09
122,Betulia,CO,2022-05-24 20:59:08,6.1128,-75.9838,298.31,79,99,0.82
123,Sao Filipe,CV,2022-05-24 20:59:08,14.8961,-24.4956,295.45,79,6,3.67
124,Macusani,PE,2022-05-24 20:59:09,-14.0833,-70.4333,279.93,57,31,2.26
125,Rorvik,NO,2022-05-24 20:59:09,64.8621,11.2373,289.21,44,0,6.69
126,Ostrovnoy,RU,2022-05-24 20:59:10,68.0531,39.5131,273.34,87,100,3.52
127,Cayenne,GF,2022-05-24 20:57:50,4.9333,-52.3333,302.17,13,20,6.17
128,Roros,NO,2022-05-24 20:59:11,62.5747,11.3842,283.06,71,100,2.57
129,Kareli,IN,2022-05-24 20:59:11,22.9167,79.0667,304.6,32,3,1.36
130,Ilhabela,BR,2022-05-24 20:59:12,-23.7781,-45.3581,293.14,81,0,2.23
131,Bonthe,SL,2022-05-24 20:59:12,7.5264,-12.505,297.86,86,91,1.94
132,Narsaq,GL,2022-05-24 21:00:13,60.9167,-46.05,279.27,45,1,6.91
133,Klaksvik,FO,2022-05-24 21:00:15,62.2266,-6.589,280.66,83,66,5.98
134,Sikasso,ML,2022-05-24 21:00:16,10.9167,-7.0,297.8,71,87,3.38
135,Kolyvan,RU,2022-05-24 21:00:17,55.3053,82.7391,284.44,56,72,3.31
136,Olafsvik,IS,2022-05-24 21:00:18,64.8945,-23.7142,279.39,87,100,2.04
137,Qaqortoq,GL,2022-05-24 21:00:20,60.7167,-46.0333,275.95,47,0,14.49
138,Warmbad,NA,2022-05-24 21:00:20,-28.45,18.7333,289.6,33,0,0.54
139,Luderitz,NA,2022-05-24 21:00:21,-26.6481,15.1594,289.22,64,0,1.92
140,Plouzane,FR,2022-05-24 21:00:22,48.3833,-4.6167,285.18,82,40,4.12
141,Kulunda,RU,2022-05-24 21:00:23,52.566,78.9385,290.75,40,100,4.18
142,Kavaratti,IN,2022-05-24 21:00:23,10.5669,72.642,301.5,78,10,4.55
143,Piet Retief,ZA,2022-05-24 21:00:24,-27.0071,30.8132,283.4,68,0,1.68
144,Sinnamary,GF,2022-05-24 21:00:25,5.3833,-52.95,300.38,80,37,4.53
145,Bougouni,ML,2022-05-24 21:00:25,11.417,-7.479,299.98,55,91,4.67
146,Caserta,IT,2022-05-24 21:00:26,41.0832,14.3349,296.57,48,5,0.73
147,Zonalnaya Stantsiya,RU,2022-05-24 21:00:26,56.4269,85.0221,286.49,70,0,1.0
148,Lebu,CL,2022-05-24 21:00:27,-37.6167,-73.65,283.94,83,81,1.35
149,Mendi,PG,2022-05-24 21:00:27,-6.1761,143.6513,286.43,95,84,0.71
150,Machado,BR,2022-05-24 21:00:28,-21.6747,-45.9197,288.61,72,0,0.76
151,Sao Joao Da Barra,BR,2022-05-24 20:59:57,-21.6403,-41.0511,296.2,73,87,4.75
152,Valley,US,2022-05-24 21:00:29,45.1277,-116.1262,283.49,35,82,2.0
153,Ghatanji,IN,2022-05-24 21:00:29,20.1333,78.3167,306.99,30,55,1.47
154,Viedma,AR,2022-05-24 21:00:30,-40.8135,-62.9967,284.06,42,58,4.84
155,Grindavik,IS,2022-05-24 21:00:31,63.8424,-22.4338,280.41,81,100,3.09
156,Cairo,EG,2022-05-24 20:56:55,30.0626,31.2497,298.57,50,0,3.09
157,Jawar,IN,2022-05-24 21:00:31,23.0,76.5,303.3,45,26,6.23
158,Rio Branco,BR,2022-05-24 21:00:32,-9.9747,-67.81,302.6,67,99,0.65
159,Matara,LK,2022-05-24 21:00:33,5.9485,80.5353,297.88,90,100,3.9
160,Jalu,LY,2022-05-24 21:00:33,29.0331,21.5482,302.22,10,0,3.59
161,Zherdevka,RU,2022-05-24 21:00:35,51.8486,41.4606,279.12,86,49,1.52
162,Khambhat,IN,2022-05-24 21:00:35,22.3,72.6167,303.74,63,0,5.92
163,Awjilah,LY,2022-05-24 21:00:36,29.1081,21.2869,302.33,10,0,3.65
164,East London,ZA,2022-05-24 21:00:19,-33.0153,27.9116,290.8,78,93,3.23
165,Gilbues,BR,2022-05-24 21:00:36,-9.8317,-45.3439,300.5,37,41,1.97
166,Ormara,PK,2022-05-24 21:00:37,25.2088,64.6357,300.58,90,15,2.74
167,Esmeralda,CU,2022-05-24 21:00:37,21.8525,-78.1169,302.22,61,78,5.8
168,Itacare,BR,2022-05-24 21:00:38,-14.2775,-38.9967,297.6,71,0,6.18
169,Manakara,MG,2022-05-24 21:00:39,-22.1333,48.0167,293.78,94,19,2.69
170,Richards Bay,ZA,2022-05-24 21:00:39,-28.783,32.0377,290.77,78,10,1.94
171,Nanortalik,GL,2022-05-24 21:00:40,60.1432,-45.2371,273.98,67,17,14.56
172,Sur,OM,2022-05-24 21:00:40,22.5667,59.5289,304.26,53,0,6.54
173,Victoria,HK,2022-05-24 20:55:50,22.2855,114.1577,298.69,92,100,5.36
174,Dabat,ET,2022-05-24 20:58:27,12.9842,37.765,290.27,48,32,1.33
175,Mattru,SL,2022-05-24 21:00:41,7.6244,-11.8332,296.55,94,100,1.19
176,Mitsamiouli,KM,2022-05-24 21:00:42,-11.3847,43.2844,299.68,75,5,4.31
177,At-Bashi,KG,2022-05-24 21:00:43,41.1702,75.8106,283.52,67,19,2.33
178,Enkoping,SE,2022-05-24 21:01:43,59.6361,17.0777,288.07,76,96,4.1
179,Kharp,RU,2022-05-24 21:01:44,66.8014,65.8081,277.26,89,9,2.63
180,Sarahan,IN,2022-05-24 21:00:17,31.5167,77.8,283.05,74,13,1.84
181,Pangody,RU,2022-05-24 21:01:45,65.85,74.4859,280.29,75,63,2.91
182,Nantucket,US,2022-05-24 20:58:03,41.2835,-70.0995,288.71,84,98,5.79
183,Asyut,EG,2022-05-24 21:01:45,27.181,31.1837,300.63,18,0,4.02
184,Panaba,MX,2022-05-24 21:01:46,21.2833,-88.2667,310.28,23,17,8.49
185,Dese,ET,2022-05-24 21:01:46,11.1333,39.6333,287.63,37,11,1.2
186,Hualmay,PE,2022-05-24 21:01:47,-11.0964,-77.6139,292.97,73,16,4.88
187,Bathsheba,BB,2022-05-24 21:01:48,13.2167,-59.5167,299.54,75,100,5.04
188,Miandrivazo,MG,2022-05-24 21:01:48,-19.5167,45.4667,295.06,78,0,0.68
189,Gorom-Gorom,BF,2022-05-24 21:01:48,14.4439,-0.2361,307.64,25,78,4.78
190,Rio Grande,BR,2022-05-24 21:01:49,-32.035,-52.0986,291.45,81,100,2.84
191,Balkanabat,TM,2022-05-24 21:01:49,39.5108,54.3671,293.54,49,0,4.49
192,Rawson,AR,2022-05-24 21:01:00,-43.3002,-65.1023,281.37,37,7,7.39
193,Peabiru,BR,2022-05-24 21:01:50,-23.9128,-52.3431,290.91,71,0,1.88
194,Cartagena,CO,2022-05-24 20:59:01,10.3997,-75.5144,301.94,79,40,4.12
195,Lima,PE,2022-05-24 21:00:56,-12.0432,-77.0282,292.54,72,24,3.79
196,Santa Lucia,ES,2022-05-24 21:01:52,27.9117,-15.5407,289.77,73,40,10.29
197,Thinadhoo,MV,2022-05-24 21:01:52,0.5333,72.9333,301.64,70,98,2.57
198,Mahajanga,MG,2022-05-24 21:01:53,-15.7167,46.3167,297.47,59,9,0.58
199,Daloa,CI,2022-05-24 21:01:15,6.8774,-6.4502,294.42,97,100,1.25
200,Buchanan,LR,2022-05-24 21:01:54,5.8808,-10.0467,297.14,90,100,2.89
201,Kismayo,SO,2022-05-24 21:01:54,-0.3582,42.5454,299.42,86,75,5.19
202,Krasnoarmeysk,RU,2022-05-24 21:01:55,51.0239,45.6969,282.02,75,43,4.55
203,Paamiut,GL,2022-05-24 21:01:56,61.994,-49.6678,271.04,65,100,12.62
204,Bloemfontein,ZA,2022-05-24 21:01:56,-29.1211,26.214,284.28,56,1,0.92
205,Baijiantan,CN,2022-05-24 21:01:57,45.6333,85.1833,301.24,25,100,1.15
206,Presidencia Roque Saenz Pena,AR,2022-05-24 21:01:57,-26.7852,-60.4388,300.07,51,34,3.99
207,Abu Kamal,SY,2022-05-24 21:01:57,34.4506,40.9171,299.1,29,5,5.34
208,Aksu,CN,2022-05-24 20:59:35,41.1231,80.2644,297.33,28,100,6.57
209,Chimbote,PE,2022-05-24 21:01:59,-9.0853,-78.5783,292.84,76,30,5.36
210,Jumla,NP,2022-05-24 21:01:59,29.2747,82.1838,282.41,92,89,2.08
211,Kaele,CM,2022-05-24 21:02:00,10.1092,14.4508,303.31,42,84,3.03
212,Sao Jose Da Coroa Grande,BR,2022-05-24 21:02:00,-8.8978,-35.1478,297.87,89,100,4.76
213,Kozienice,PL,2022-05-24 21:02:01,51.5829,21.5478,289.38,23,100,2.77
214,Oktyabrskoye,RU,2022-05-24 21:02:01,43.0645,44.7417,283.23,93,100,4.0
215,Carnarvon,AU,2022-05-24 21:02:02,-24.8667,113.6333,292.72,66,36,3.92
216,Honningsvag,NO,2022-05-24 21:02:02,70.9821,25.9704,285.01,54,0,4.12
217,Roald,NO,2022-05-24 21:02:03,62.5833,6.1333,287.13,76,75,3.6
218,Bandarbeyla,SO,2022-05-24 21:02:03,9.4942,50.8122,300.14,81,7,11.72
219,Novominskaya,RU,2022-05-24 21:02:04,46.3163,38.9586,282.71,83,49,2.94
220,Mocuba,MZ,2022-05-24 21:03:04,-16.8392,36.9856,292.09,89,71,0.82
221,Mbandaka,CD,2022-05-24 21:03:05,0.0487,18.2603,294.81,92,100,1.35
222,Clarence Town,AU,2022-05-24 21:03:06,-32.5833,151.7833,285.82,98,9,1.14
223,Kabare,CD,2022-05-24 21:03:06,-2.4683,28.8242,289.4,94,100,0.67
224,Asfi,MA,2022-05-24 21:03:07,32.2994,-9.2372,291.05,73,8,8.7
225,Perpignan,FR,2022-05-24 21:03:08,42.75,2.75,286.94,77,100,8.23
226,Muros,ES,2022-05-24 21:03:09,42.7762,-9.0603,287.64,80,38,3.78
227,Menongue,AO,2022-05-24 21:03:09,-14.6585,17.691,284.23,47,0,1.6
228,Hambantota,LK,2022-05-24 21:03:10,6.1241,81.1185,299.38,79,100,6.75
229,Bulungu,CD,2022-05-24 21:03:10,-4.55,18.6,294.19,92,99,0.85
230,Laguna,US,2022-05-24 21:03:11,38.421,-121.4238,310.31,15,0,5.66
231,Codrington,AU,2022-05-24 21:03:12,-38.2667,141.9667,285.0,71,100,5.02
232,Itarema,BR,2022-05-24 21:03:12,-2.9248,-39.9167,297.77,89,48,4.43
233,Umm Kaddadah,SD,2022-05-24 21:03:13,13.6017,26.6876,301.17,11,33,5.42
234,Stokmarknes,NO,2022-05-24 21:03:13,68.5646,14.9108,287.13,66,75,3.6
235,Kongolo,CD,2022-05-24 21:02:15,-5.3833,27.0,295.14,90,100,1.43
236,Vengerovo,RU,2022-05-24 21:03:14,55.6848,76.7471,289.08,49,6,0.83
237,Gasa,PS,2022-05-24 21:00:25,31.5,34.4667,293.27,81,0,1.04
238,Mezen,RU,2022-05-24 21:03:15,65.8522,44.24,274.14,95,99,2.22
239,Tessalit,ML,2022-05-24 21:03:15,20.1986,1.0114,306.45,16,100,3.62
240,Camacha,PT,2022-05-24 21:03:16,33.0833,-16.3333,289.83,63,75,4.63
241,Macae,BR,2022-05-24 21:03:16,-22.3708,-41.7869,293.45,84,22,3.98
242,Nicoya,CR,2022-05-24 21:03:17,10.1483,-85.452,296.92,95,100,1.49
243,Mandera,KE,2022-05-24 21:03:17,3.9366,41.867,301.1,61,88,5.89
244,Igrim,RU,2022-05-24 21:03:18,63.1906,64.4162,281.0,85,73,1.78
245,Mableton,US,2022-05-24 21:03:18,33.8157,-84.5619,302.07,65,0,2.06
246,Beveren,BE,2022-05-24 21:03:19,51.2559,4.2371,286.49,84,0,2.06
247,Faya,SA,2022-05-24 21:03:20,18.3851,42.4509,293.44,47,1,0.4
248,Castro,BR,2022-05-24 21:03:20,-24.7911,-50.0119,287.23,79,0,1.78
249,Araouane,ML,2022-05-24 21:03:20,18.9048,-3.5265,303.96,29,7,4.07
250,Atasu,KZ,2022-05-24 21:03:21,48.6814,71.6433,287.17,37,73,4.5
251,Bouca,CF,2022-05-24 21:03:21,6.5105,18.2733,295.25,82,100,1.89
252,Vila Velha,BR,2022-05-24 20:59:46,-20.3297,-40.2925,296.12,78,40,1.54
253,Cozumel,MX,2022-05-24 20:59:05,20.5083,-86.9458,304.23,74,77,6.26
254,Quatre Cocos,MU,2022-05-24 21:03:23,-20.2078,57.7625,294.87,80,13,5.45
255,Pokhara,NP,2022-05-24 21:03:03,28.2333,83.9833,293.58,73,100,3.12
256,Bud,US,2022-05-24 21:03:24,39.447,-86.1758,297.3,54,92,5.05
257,Chitral,PK,2022-05-24 21:03:24,35.8462,71.7858,291.56,53,0,0.42
258,Bakchar,RU,2022-05-24 21:03:25,57.0186,82.0711,286.54,57,0,0.77
259,Garh Maharaja,PK,2022-05-24 21:03:25,30.8339,71.9053,301.87,36,0,4.4
260,Casablanca,MA,2022-05-24 21:00:27,33.5928,-7.6192,292.22,63,13,2.68
261,Rybinsk,RU,2022-05-24 21:03:26,58.0446,38.8426,273.11,92,11,2.6
262,Placido De Castro,BR,2022-05-24 21:03:26,-10.3353,-67.1856,302.74,59,99,0.6
263,Volodarskiy,RU,2022-05-24 21:04:27,46.4013,48.5409,285.12,50,21,3.31
264,Kamenka,RU,2022-05-24 21:04:27,51.3223,42.7678,280.01,90,75,2.83
265,Dwarka,IN,2022-05-24 21:04:28,22.2394,68.9678,301.82,77,37,6.63
266,Romanovo,RU,2022-05-24 21:04:28,52.6182,81.2271,288.55,51,97,4.47
267,Santa Marta,CO,2022-05-24 21:01:35,11.2408,-74.199,302.09,76,100,6.36
268,Bousse,BF,2022-05-24 21:04:29,12.6606,-1.8922,305.4,37,38,2.92
269,Coulommiers,FR,2022-05-24 21:04:30,48.8145,3.085,285.25,83,76,2.44
270,Nekhayevskiy,RU,2022-05-24 21:04:30,50.4106,41.7561,283.57,70,100,4.08
271,Margate,GB,2022-05-24 21:00:56,51.3813,1.3862,284.43,79,8,1.79
272,Mangan,IN,2022-05-24 21:04:31,27.5167,88.5333,293.75,79,35,1.66
273,Serravalle Pistoiese,IT,2022-05-24 21:04:31,43.9061,10.8327,294.98,83,65,1.37
274,Shelburne,CA,2022-05-24 21:00:09,44.0787,-80.2041,291.55,52,96,2.45
275,Nouakchott,MR,2022-05-24 21:04:32,18.0858,-15.9785,292.11,88,4,6.04
276,Souillac,MU,2022-05-24 21:01:05,-20.5167,57.5167,295.8,82,4,4.35
277,Pulaski,US,2022-05-24 21:04:33,34.7668,-92.3001,296.66,88,100,3.6
278,Agadez,NE,2022-05-24 21:04:33,19.75,10.25,305.05,10,86,4.87
279,Bubaque,GW,2022-05-24 21:04:34,11.2833,-15.8333,298.62,76,14,8.93
280,Medea,DZ,2022-05-24 21:04:34,36.2642,2.7539,290.54,59,35,1.3
281,Ampanihy,MG,2022-05-24 21:04:35,-24.7,44.75,293.33,81,99,0.48
282,Maamba,ZM,2022-05-24 21:04:35,-17.3667,27.15,288.47,39,0,1.64
283,Mizdah,LY,2022-05-24 21:04:36,31.4451,12.9801,299.73,15,0,6.83
284,Baniyas,SY,2022-05-24 21:04:36,35.1819,35.9487,291.31,74,0,1.82
285,Coquimbo,CL,2022-05-24 21:04:37,-29.9533,-71.3436,287.0,100,75,4.12
286,Alberton,CA,2022-05-24 21:04:37,46.8168,-64.0654,282.5,53,73,3.41
287,Cascais,PT,2022-05-24 21:04:38,38.6979,-9.4215,290.08,69,20,11.18
288,Cockburn Town,TC,2022-05-24 21:04:38,21.4612,-71.1419,299.66,72,62,8.4
289,Tosya,TR,2022-05-24 21:04:39,41.0155,34.0401,282.24,75,4,0.93
290,Alghero,IT,2022-05-24 21:04:39,40.5589,8.3181,293.2,94,0,2.57
291,Cabo Rojo,PR,2022-05-24 21:04:40,18.0866,-67.1457,302.44,78,67,0.45
292,Svetlogorsk,BY,2022-05-24 21:04:40,52.6333,29.7333,286.36,58,99,2.16
293,Kaputa,ZM,2022-05-24 21:04:41,-8.4689,29.6619,294.09,70,91,1.89
