City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
535,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,80.44,37,84,4.56,broken clouds
536,Juigalpa,NI,12.1063,-85.3645,80.51,83,40,4.61,scattered clouds
537,Rovenki,UA,48.0833,39.3776,50.63,75,38,4.52,scattered clouds
538,Moju,BR,-1.8839,-48.7689,75.06,97,97,3.2,light rain
539,Piacabucu,BR,-10.4056,-36.4344,75.92,88,100,13.42,overcast clouds
540,Parli,IN,18.8486,76.5297,87.26,44,76,17.0,broken clouds
541,Moramanga,MG,-18.9333,48.2,58.87,98,42,1.63,scattered clouds
542,Kangundo,KE,-1.2979,37.3471,66.54,91,92,3.29,overcast clouds
543,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.55,60,4,1.81,clear sky
544,La Macarena,CO,2.1837,-73.7849,78.12,95,97,1.3,overcast clouds
545,Goundam,ML,16.4145,-3.6708,88.23,36,89,10.2,light rain
546,Waddan,LY,29.1614,16.139,90.36,8,0,22.82,clear sky
547,Turbat,PK,26.0023,63.044,83.5,72,0,3.6,clear sky
548,Stornoway,GB,58.2093,-6.3865,48.16,81,40,11.5,scattered clouds
549,Guebwiller,FR,47.9167,7.2,58.3,82,100,4.16,overcast clouds
550,Santa Rita,BR,-7.1139,-34.9781,75.87,94,0,8.05,clear sky
551,Arkhangelsk,RU,64.5401,40.5433,37.51,93,100,4.47,fog
552,Bidar,IN,17.9,77.55,88.07,33,93,7.47,overcast clouds
553,Paracuru,BR,-3.41,-39.0306,82.11,87,75,8.37,broken clouds
554,Bani Walid,LY,31.7566,13.9942,76.89,29,0,12.28,clear sky
555,Zastron,ZA,-30.3023,27.084,48.88,57,0,4.52,clear sky
556,Viiratsi,EE,58.36,25.6372,57.02,83,100,3.29,overcast clouds
557,Halvad,IN,23.0167,71.1833,82.26,76,0,13.51,clear sky
558,Venado Tuerto,AR,-33.7456,-61.9688,51.76,58,100,9.75,overcast clouds
559,Maniitsoq,GL,65.4167,-52.9,33.48,66,69,17.47,broken clouds
560,Peterhead,GB,57.5058,-1.7981,52.2,72,8,14.09,clear sky
561,Benguela,AO,-12.5763,13.4055,70.41,79,3,2.82,clear sky
562,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.83,69,11,3.15,few clouds
563,Outjo,NA,-20.1167,16.15,57.16,31,0,2.71,clear sky
564,Proletariy,RU,58.4342,31.7046,45.66,71,100,4.68,overcast clouds
565,Dzilam Gonzalez,MX,21.2833,-88.9333,94.64,39,100,8.37,overcast clouds
566,Quimper,FR,48.0,-4.1,57.78,88,100,8.05,overcast clouds
567,Aviles,ES,43.5547,-5.9248,58.39,88,20,0.0,few clouds
568,Manaure,CO,11.7751,-72.4445,86.9,60,100,14.16,overcast clouds
569,Akhnur,IN,32.8667,74.7333,81.41,39,0,4.97,clear sky
570,Harer,ET,9.3094,42.1258,62.85,62,93,4.16,overcast clouds
571,Manta,EC,-0.95,-80.7333,78.58,73,20,11.5,few clouds
572,Afua,BR,-0.1567,-50.3867,77.07,92,28,5.26,light rain
573,Toumodi,CI,6.5613,-5.0158,72.66,97,100,3.76,light rain
574,Riviere-Au-Renard,CA,48.9957,-64.3971,59.29,74,98,12.35,overcast clouds
575,Kandi,BJ,11.1342,2.9386,86.58,39,15,3.71,few clouds
576,Terra Santa,BR,-2.1042,-56.4869,81.97,71,28,5.37,scattered clouds
577,Naifaru,MV,5.4444,73.3657,81.34,81,99,9.66,overcast clouds
578,Bulaevo,KZ,54.9056,70.4439,65.43,44,84,9.08,broken clouds
